,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus,Workers who commuted by bus - Margin of Error,Workers who commuted by subway or elevated rail,Workers who commuted by subway or elevated rail - Margin of Error,Workers who commuted by long-distance train or commuter rail,Workers who commuted by long-distance train or commuter rail - Margin of Error,"Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico)","Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico) - Margin of Error",Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus,Percent of workers who commuted by bus - Margin of Error,"Percent of workers who commuted by light rail, streetcar or trolley","Percent of workers who commuted by light rail, streetcar or trolley - Margin of Error",Percent of workers who commuted by subway or elevated rail,Percent of workers who commuted by subway or elevated rail - Margin of Error,Percent of workers who commuted by long-distance train or commuter rail,Percent of workers who commuted by long-distance train or commuter rail - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y,zip,tract
26,53033003100,2236733,472744,Census Tract 31,Washington,King County,3730,490,2128,382,1819,378,309,109,500,170,500,170,0,18,0,18,0,18,0,18,0,18,9,16,140,88,55,46,19,31,879,265,48.8,7.85223076814225,8.3,2.71205160720888,13.4,4.20370364990133,13.4,4.20370364990133,0.0,0.482573726541555,0.0,0.482573726541555,0.0,0.482573726541555,0.0,0.482573726541555,0.0,0.482573726541555,0.2,0.427781702405224,3.8,2.30715013746969,1.5,1.21793637340785,0.5,0.828400917362733,23.6,6.39460780528523,,,98117,53033003100
27,53033003400,787161,0,Census Tract 34,Washington,King County,2032,215,851,151,756,147,95,53,364,132,364,132,0,13,0,13,0,13,0,13,0,13,7,11,118,67,54,42,7,11,631,165,37.2,6.06944678641529,4.7,2.56093012458856,17.9,6.21340750857987,17.9,6.21340750857987,0.0,0.639763779527559,0.0,0.639763779527559,0.0,0.639763779527559,0.0,0.639763779527559,0.0,0.639763779527559,0.3,0.540110090845597,5.8,3.23948966160659,2.7,2.04771426509669,0.3,0.540110090845597,31.1,7.42564656558573,,,98107,53033003400
28,53033003500,1284745,0,Census Tract 35,Washington,King County,2434,249,1228,175,1053,166,175,73,425,100,425,100,0,13,0,13,0,13,0,13,11,17,15,24,124,53,184,95,0,13,447,97,43.3,5.18901119231004,7.2,2.90758945862527,17.5,3.69982579516896,17.5,3.69982579516896,0.0,0.534100246507806,0.0,0.534100246507806,0.0,0.534100246507806,0.0,0.534100246507806,0.5,0.696906920815175,0.6,0.984013681362037,5.1,2.11419603224442,7.6,3.82565723212177,0.0,0.534100246507806,18.4,3.51457630737501,,,98103,53033003500
29,53033003800,624606,0,Census Tract 38,Washington,King County,1535,283,615,127,576,118,39,30,244,103,244,103,0,13,0,13,0,13,0,13,12,20,6,9,34,23,127,104,0,13,497,227,37.5,3.3516033714783,2.5,1.89743327593318,15.9,6.03629672052227,15.9,6.03629672052227,0.0,0.846905537459283,0.0,0.846905537459283,0.0,0.846905537459283,0.0,0.846905537459283,0.8,1.29493537237981,0.4,0.581873649786365,2.2,1.4416499659007,8.3,6.60130297833634,0.0,0.846905537459283,32.4,13.5299688745829,,,98115,53033003800
30,53033003900,973808,0,Census Tract 39,Washington,King County,1544,262,887,172,762,160,125,62,141,63,135,60,6,11,0,13,0,13,0,13,0,13,0,13,95,103,94,67,0,13,327,107,49.4,6.10346490434936,8.1,3.77323821237503,9.1,3.77460039145334,8.7,3.59162468972435,0.0,0.841968911917098,0.4,0.709376978406971,0.0,0.841968911917098,0.0,0.841968911917098,0.0,0.841968911917098,0.0,0.841968911917098,6.2,6.58877439249425,6.1,4.21461104548286,0.0,0.841968911917098,21.2,5.92538497699363,,,98115,53033003900
31,53033004000,2574586,3232248,Census Tract 40,Washington,King County,1608,251,1008,240,915,222,93,98,102,53,98,53,4,9,0,13,0,13,0,13,0,13,0,13,78,50,35,37,0,13,385,167,56.9,10.5693208544642,5.8,6.02729143965974,6.3,3.14377901467583,6.1,3.15574601895134,0.0,0.808457711442786,0.2,0.558352963534961,0.0,0.808457711442786,0.0,0.808457711442786,0.0,0.808457711442786,0.0,0.808457711442786,4.9,3.01585517230163,2.2,2.27577297058419,0.0,0.808457711442786,23.9,9.68980981580773,,,98115,53033004000
32,53033004301,979236,0,Census Tract 43.01,Washington,King County,1730,228,731,143,639,131,92,49,364,140,304,127,50,45,0,13,10,16,0,13,8,13,0,13,58,39,179,83,15,21,375,112,36.9,5.80020545591417,5.3,2.7442879902819,21.0,7.6025653793615,17.6,6.96617331422665,0.6,0.921712668213762,2.9,2.57311619826544,0.0,0.751445086705202,0.0,0.751445086705202,0.5,0.748969637963776,0.0,0.751445086705202,3.4,2.21061073938226,10.3,4.5998184240342,0.9,1.20848232080513,21.7,5.80959920263295,,,98105,53033004301
33,53033004302,331137,0,Census Tract 43.02,Washington,King County,1845,328,573,147,511,141,62,48,296,121,169,86,57,57,0,13,70,76,0,13,39,41,0,13,229,153,395,165,56,74,257,104,27.7,5.844690237598,3.4,2.5321055902729,16.0,5.90559657539635,9.2,4.36754524163275,3.8,4.06364413318722,3.1,3.04021829582082,0.0,0.704607046070461,0.0,0.704607046070461,2.1,2.19021760602436,0.0,0.704607046070461,12.4,7.99372655076742,21.4,8.0927488860124,3.0,3.97437718198839,13.9,5.06377115234803,,,98105,53033004302
34,53033004500,670997,0,Census Tract 45,Washington,King County,2179,611,795,179,712,180,83,58,453,200,447,200,6,11,0,13,0,13,0,13,9,13,0,13,198,62,162,90,0,13,562,419,32.7,12.3364206708592,3.8,2.43807851112902,20.8,7.08965408877101,20.5,7.15244161311796,0.0,0.596603946764571,0.3,0.498879181850631,0.0,0.596603946764571,0.0,0.596603946764571,0.4,0.585254543199413,0.0,0.596603946764571,9.1,1.26644789519035,7.4,3.56563168625566,0.0,0.596603946764571,25.8,17.8171730742127,,,98105,53033004500
35,53033004600,1552358,1033232,Census Tract 46,Washington,King County,1861,237,976,196,855,187,121,75,380,104,374,106,0,13,0,13,0,13,6,10,0,13,6,8,99,45,55,30,7,11,338,119,45.9,8.16925219404662,6.5,3.94411190341033,20.4,4.94652300652998,20.1,5.08848221919371,0.0,0.698549167114455,0.0,0.698549167114455,0.0,0.698549167114455,0.3,0.535774552232844,0.0,0.698549167114455,0.3,0.427911087299263,5.3,2.32121130558183,3.0,1.56748374199347,0.4,0.589135842648983,18.2,5.96142708630631,,,98103,53033004600
