,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Population Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Men Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months,Mean Usual Hours Worked of Women Age 16 to 64 who Have Worked in Past 12 Months - Margin of Error,Total Population 16 Years and Over,Total Population 16 Years and Over - Margin of Error,All Population in Labor Force,All Population in Labor Force - Margin of Error,All Population in Civilian Labor Force,All Population in Civilian Labor Force - Margin of Error,Employed Population in Civilian Labor Force,Employed Population in Civilian Labor Force - Margin of Error,Unemployed Population in Civilian Labor Force,Unemployed Population in Civilian Labor Force - Margin of Error,Population in Armed Forces,Population in Armed Forces - Margin of Error,Population 16 Years and Over Not in Labor Force,Population 16 Years and Over Not in Labor Force - Margin of Error,Percent Not in Labor Force,Percent Not in Labor Force - Margin of Error,Percent Unemployed,Percent Unemployed - Margin of Error,x,y,zip,tract
69,53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,41.3,1.4,44.0,2.0,38.5,2.1,5193,750,3557,573,3557,573,3488,596,69,69,0,18,1636,323,31.5,4.24088784978937,1.9,1.91450187313354,,,98116,53033009701
70,53033009702,2220441,0,Census Tract 97.02,Washington,King County,39.4,2.5,43.3,3.2,34.1,2.6,4456,549,3257,445,3257,445,3101,426,156,88,0,18,1199,229,26.9,3.92691031086053,4.8,2.62142448064506,,,98116,53033009702
71,53033009900,6565170,2370735,Census Tract 99,Washington,King County,40.5,1.3,41.5,2.2,39.5,1.4,5006,691,4094,623,4094,623,3787,549,307,168,0,18,912,277,18.2,4.92891574750361,7.5,3.94171334394174,,,98126,53033009900
72,53033010001,2327512,0,Census Tract 100.01,Washington,King County,35.9,2.9,35.0,3.3,36.8,3.5,3376,418,2194,330,2194,330,1937,280,257,138,0,13,1182,250,35.0,6.00374696030673,11.7,6.03808114827235,,,98108,53033010001
73,53033010002,948077,0,Census Tract 100.02,Washington,King County,37.6,1.5,38.3,2.0,36.6,1.8,4294,534,3121,475,3121,475,2968,474,153,83,0,13,1173,282,27.3,5.62039310353036,4.9,2.55259934883455,,,98144,53033010002
74,53033010200,2795533,2076618,Census Tract 102,Washington,King County,40.0,1.4,41.6,1.5,37.9,2.0,4210,385,2909,244,2909,244,2863,249,46,39,0,18,1301,209,30.9,4.08149938725033,1.6,1.33408976998142,,,98118,53033010200
75,53033010401,1629874,0,Census Tract 104.01,Washington,King County,37.2,1.5,38.4,2.0,36.0,2.3,3627,414,2484,329,2484,329,2338,340,146,76,0,13,1143,227,31.5,5.12164110964185,5.9,2.9588869558504,,,98108,53033010401
76,53033010402,1742875,0,Census Tract 104.02,Washington,King County,37.6,1.1,39.4,1.4,35.6,2.1,3948,645,2924,418,2915,419,2837,415,78,55,9,13,1024,305,25.9,6.45958431743322,2.7,1.8471744525701,,,98108,53033010402
77,53033010701,1457384,3664,Census Tract 107.01,Washington,King County,41.1,1.8,42.2,2.5,39.6,2.2,3397,413,2377,313,2377,313,2293,307,84,67,0,13,1020,231,30.0,5.7371626504253,3.5,2.78000272315542,,,98106,53033010701
78,53033010702,780116,0,Census Tract 107.02,Washington,King County,38.1,2.1,38.9,2.4,37.4,3.2,3424,445,2317,401,2317,401,2168,396,149,89,0,13,1107,225,32.3,5.05232334810791,6.4,3.67640351668478,,,98126,53033010702
79,53033010800,4140525,322633,Census Tract 108,Washington,King County,38.8,1.4,41.1,1.6,36.3,2.6,3947,449,2869,397,2869,397,2802,399,67,43,0,13,1078,184,27.3,3.47549973763859,2.3,1.46352851991891,,,98106,53033010800
80,53033010900,5389781,414929,Census Tract 109,Washington,King County,38.2,3.5,41.8,1.8,34.3,6.2,1045,159,808,129,808,129,801,129,7,11,0,13,237,113,22.7,10.2480200628709,0.9,1.35434174188693,,,98108,53033010900
81,53033011001,1080391,0,Census Tract 110.01,Washington,King County,39.2,2.5,42.6,3.3,35.9,2.8,4213,661,2351,385,2351,385,2219,417,132,93,0,18,1862,415,44.2,6.99629031680455,5.6,3.84742402135933,,,98118,53033011001
82,53033011002,1719569,0,Census Tract 110.02,Washington,King County,33.5,2.2,35.9,2.3,31.2,3.4,3558,538,2410,429,2407,429,2296,405,111,63,3,7,1148,263,32.3,5.55301696498225,4.6,2.48496617883284,,,98108,53033011002
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,37.7,1.3,38.7,1.7,36.5,2.2,4595,410,3411,357,3411,357,3286,353,125,85,0,18,1184,221,25.8,4.22445198996851,3.7,2.46224460848213,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,37.2,1.7,39.0,2.1,34.9,2.8,4360,683,3311,681,3311,681,3138,651,173,116,0,18,1049,234,24.1,3.82089307075219,5.2,3.33457805388586,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,34.8,2.6,36.6,3.2,32.7,3.1,3054,425,2349,357,2325,352,2172,347,153,82,24,31,705,221,23.1,6.48426107291976,6.6,3.38323660062138,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,39.1,1.7,41.0,2.4,36.8,2.2,5254,580,3599,465,3584,466,3454,475,130,81,15,25,1655,344,31.5,5.54765960223378,3.6,2.21028850710504,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,39.1,1.4,40.5,2.5,37.6,1.3,4315,714,3207,666,3187,673,3047,662,140,74,20,32,1108,275,25.7,4.75010325895866,4.4,2.12858125503389,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,40.2,2.5,44.2,3.9,36.4,2.2,3530,414,2937,415,2937,415,2863,416,74,54,0,13,593,166,16.8,4.26993774205991,2.5,1.80381289975447,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,37.7,1.7,40.0,1.8,36.0,2.5,3592,352,2768,337,2768,337,2671,322,97,76,0,13,824,183,22.9,4.57186856571026,3.5,2.71231387526933,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,36.2,2.1,35.0,4.1,37.4,1.6,4791,740,3137,529,3128,529,2912,514,216,137,9,16,1654,385,34.5,6.01184128108688,6.9,4.22123252148717,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,39.5,1.6,40.6,1.9,38.7,2.6,2696,319,1965,230,1965,230,1916,220,49,30,0,13,731,173,27.1,5.55732963565897,2.5,1.49855755150355,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,42.6,2.3,44.5,2.5,40.6,4.8,2186,230,1415,196,1409,195,1372,198,37,30,6,11,771,157,35.3,6.14907714935718,2.6,2.09792417168333,,,98146,53033012100
