,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,All Owner-Occupied Housing Units,All Owner-Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units with a Householder who is not a high school graduate,Owner-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,All Renter-Occupied Housing Units,All Renter-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units with a Householder who is not a high school graduate,Renter-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied - Margin of Error,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree - Margin of Error,Renter Rate among Households with a householder who does not hold a bachelor's degree,Renter Rate among Households with a householder who does not hold a bachelor's degree - Margin of Error,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Renter Rate among Households with a Householder who holds a bachelor's degree or higher,Renter Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Households with a Householder who does not hold a bachelor's degree,Households with a Householder who does not hold a bachelor's degree - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied - Margin of Error,Households with a Householder who holds a bachelor's degree or higher,Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Percent Difference Home Ownership with and without Bachelor's Degree,x,y,zip,tract
77,53033010701,1457384,3664,Census Tract 107.01,Washington,King County,1784,208,963,167,7,14,114,106,267,120,575,93,821,177,76,61,359,138,203,102,183,68,54.0,6.92954002890772,46.0,8.34548904137004,37.8,12.8848123292827,62.2,9.8874804257244,75.9,4.25214594408184,24.1,8.18916827824804,1026,243,388,161,638,182,758,115,38.10000000000001,,,98106,53033010701
78,53033010702,780116,0,Census Tract 107.02,Washington,King County,1815,253,880,209,0,13,0,13,151,100,729,192,935,191,201,82,267,156,320,148,147,72,48.5,9.32316860551402,51.5,7.69265626126764,16.1,9.96853382777029,83.9,9.63063476384888,83.2,10.0559526592899,16.8,7.22034704656951,939,252,151,102,788,230,876,205,67.1,,,98126,53033010702
79,53033010800,4140525,322633,Census Tract 108,Washington,King County,1839,199,1383,162,54,35,120,86,305,89,904,162,456,152,18,18,26,27,213,143,199,76,75.2,3.37277601798164,24.8,7.81771023836564,65.1,3.14300694463923,34.9,17.7009476647865,82.0,6.22968876685845,18.0,6.23728066694689,736,195,479,129,257,147,1103,179,16.900000000000006,,,98106,53033010800
80,53033010900,5389781,414929,Census Tract 109,Washington,King County,625,107,362,100,7,11,6,9,81,37,268,97,263,61,2,5,71,37,103,43,87,34,57.9,12.5568645713324,42.1,6.58472480995098,34.8,11.8456745447116,65.2,12.9682502771209,75.5,16.3349508090816,24.5,6.41628456132701,270,69,94,40,176,57,355,103,40.7,,,98108,53033010900
81,53033011001,1080391,0,Census Tract 110.01,Washington,King County,1826,252,836,226,105,70,157,140,144,72,430,159,990,201,508,190,85,59,239,97,158,70,45.8,10.6425015824403,54.2,8.07367075589804,32.8,11.7477804927633,67.2,9.36137112480598,73.1,16.2143038585727,26.9,8.85981043541452,1238,280,406,172,832,221,588,174,40.3,,,98118,53033011001
82,53033011002,1719569,0,Census Tract 110.02,Washington,King County,1296,94,809,119,105,53,324,92,182,80,198,77,487,111,191,87,170,109,108,69,18,18,62.4,7.9882372579123,37.6,8.11958626830704,56.6,6.02803367105867,43.4,11.8615697622143,91.7,12.115364711406,8.3,7.75597310394102,1080,205,611,133,469,156,216,79,35.1,,,98108,53033011002
83,53033011101,1136851,0,Census Tract 111.01,Washington,King County,2153,191,948,172,62,55,148,86,362,100,376,134,1205,205,179,130,167,97,341,157,518,150,44.0,6.96874654528977,56.0,8.12453763091449,45.4,6.01449893772978,54.6,13.7227330417973,42.1,11.6296191536944,57.9,10.5740789670686,1259,267,572,143,687,226,894,201,-3.299999999999997,,,98118,53033011101
84,53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,1892,278,1115,264,0,18,32,18,216,110,867,238,777,162,13,20,316,149,169,93,279,102,58.9,10.9415822146318,41.1,6.07469573051021,33.2,11.9108784368457,66.8,14.4849161954138,75.7,11.788035180773,24.3,6.99609487603582,746,210,248,113,498,177,1146,259,42.5,,,98118,53033011102
85,53033011200,2483779,139646,Census Tract 112,Washington,King County,1451,169,575,131,32,29,85,54,79,47,379,116,876,172,275,132,265,123,219,90,117,59,39.6,7.75928333331902,60.4,9.54311190885382,20.5,6.59251264403158,79.5,11.1476366463519,76.4,12.0776425694534,23.6,10.1622463208461,955,216,196,77,759,202,496,130,55.900000000000006,,,98108,53033011200
86,53033011300,3419308,42220,Census Tract 113,Washington,King County,2811,336,1518,276,88,57,82,54,454,248,894,150,1293,271,104,72,210,107,637,236,342,136,54.0,7.39855471018016,46.0,7.91918279229972,39.6,13.5647489460714,60.4,9.28031087624865,72.3,2.7470039937765,27.7,10.0310410444988,1575,374,624,260,951,269,1236,202,32.7,,,98106,53033011300
87,53033011401,1233155,0,Census Tract 114.01,Washington,King County,1841,167,952,156,75,59,74,62,399,146,404,94,889,112,70,68,119,72,263,77,437,111,51.7,7.05686501099173,48.3,4.22174972518531,54.8,12.3252446693768,45.2,8.08033515146494,48.0,7.5053720184689,52.0,9.69223522913495,1000,211,548,169,452,125,841,145,-6.799999999999997,,,98106,53033011401
88,53033011402,1186191,0,Census Tract 114.02,Washington,King County,1918,184,946,166,13,25,121,89,231,98,581,149,972,197,157,89,321,141,288,122,206,118,49.3,7.24692932021816,50.7,9.04764225953794,32.3,9.63338942077116,67.7,10.7796428706553,73.8,6.38646293678029,26.2,13.5968912766907,1131,247,365,135,766,207,787,190,41.5,,,98106,53033011402
89,53033011500,1538373,0,Census Tract 115,Washington,King County,1979,247,1436,210,24,25,92,46,404,118,916,200,543,168,11,17,58,38,247,126,227,132,72.6,5.53012313092002,27.4,7.76774067518168,62.2,6.97429732134735,37.8,13.5326380603351,80.1,4.79746443913193,19.9,10.7693810539722,836,185,520,129,316,133,1143,240,17.89999999999999,,,98126,53033011500
90,53033011700,3515808,0,Census Tract 117,Washington,King County,1595,186,1055,169,216,126,260,92,233,87,346,104,540,172,191,142,139,75,143,72,67,48,66.1,7.26436086850214,33.9,10.0349825043732,60.0,8.19090332518021,40.0,12.2271089249405,83.8,9.48295820816468,16.2,10.708496703444,1182,251,709,179,473,176,413,115,23.8,,,98118,53033011700
91,53033012000,1437048,0,Census Tract 120,Washington,King County,1499,165,1175,155,38,31,66,40,315,145,756,96,324,115,9,13,52,75,132,58,131,71,78.4,5.69868615752471,21.6,7.29354311210855,68.5,14.9399042856689,31.5,12.6122900105597,85.2,15.7444500410316,14.8,7.75540123629285,612,181,419,154,193,96,887,119,16.700000000000003,,,98146,53033012000
92,53033012100,1739952,1380849,Census Tract 121,Washington,King County,1162,138,1026,132,0,13,41,30,222,58,763,140,136,57,0,13,0,13,82,44,54,45,88.3,4.36863259978068,11.7,4.70428509454244,76.2,6.98954589572702,23.8,12.7145169525319,93.4,3.3589840736498,6.6,5.3780389805085,345,82,263,67,82,48,817,147,17.200000000000003,,,98146,53033012100
