,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,Total households - Margin of Error,"Households whose income in the past 12 months was less than $10,000","Households whose income in the past 12 months was less than $10,000 - Margin of Error","Households whose income in the past 12 months was $10,000 to $14,999","Households whose income in the past 12 months was $10,000 to $14,999 - Margin of Error","Households whose income in the past 12 months was $15,000 to $19,999","Households whose income in the past 12 months was $15,000 to $19,999 - Margin of Error","Households whose income in the past 12 months was $20,000 to $24,999","Households whose income in the past 12 months was $20,000 to $24,999 - Margin of Error","Households whose income in the past 12 months was $25,000 to $29,999","Households whose income in the past 12 months was $25,000 to $29,999 - Margin of Error","Households whose income in the past 12 months was $30,000 to $34,999","Households whose income in the past 12 months was $30,000 to $34,999 - Margin of Error","Households whose income in the past 12 months was $35,000 to $39,999","Households whose income in the past 12 months was $35,000 to $39,999 - Margin of Error","Households whose income in the past 12 months was $40,000 to $44,999","Households whose income in the past 12 months was $40,000 to $44,999 - Margin of Error","Households whose income in the past 12 months was $45,000 to $49,999","Households whose income in the past 12 months was $45,000 to $49,999 - Margin of Error","Households whose income in the past 12 months was $50,000 to $59,999","Households whose income in the past 12 months was $50,000 to $59,999 - Margin of Error","Households whose income in the past 12 months was $60,000 to $74,999","Households whose income in the past 12 months was $60,000 to $74,999 - Margin of Error","Households whose income in the past 12 months was $75,000 to $99,999","Households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was $100,000 to $124,999","Households whose income in the past 12 months was $100,000 to $124,999 - Margin of Error","Households whose income in the past 12 months was $125,000 to $149,999","Households whose income in the past 12 months was $125,000 to $149,999 - Margin of Error","Households whose income in the past 12 months was $150,000 to $199,999","Households whose income in the past 12 months was $150,000 to $199,999 - Margin of Error","Households whose income in the past 12 months was $200,000 or more","Households whose income in the past 12 months was $200,000 or more - Margin of Error","Households whose income in the past 12 months was less than $75,000","Households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was less than $75,000","Percent of households whose income in the past 12 months was less than $75,000 - Margin of Error","Percent of households whose income in the past 12 months was $75,000 to $99,999","Percent of households whose income in the past 12 months was $75,000 to $99,999 - Margin of Error","Households whose income in the past 12 months was at least $100,000","Households whose income in the past 12 months was at least $100,000 - Margin of Error","Percent of households whose income in the past 12 months was at least $100,000","Percent of households whose income in the past 12 months was at least $100,000 - Margin of Error",x,y,zip,tract
0,53033000300,1211013,0,Census Tract 3,Washington,King County,1127,114,0,13,21,24,15,20,0,13,17,18,19,20,48,49,55,51,9,15,53,43,92,71,107,50,263,115,121,52,155,56,152,59,329,119,29.2,10.137693327997,9.5,4.33136469692759,691,150,61.3,11.7763309749001,,,98133,53033000300
1,53033000402,1798938,0,Census Tract 4.02,Washington,King County,2546,435,54,54,41,35,52,38,80,78,14,22,83,60,83,91,52,45,93,60,289,178,252,152,441,384,210,132,166,89,172,92,464,191,1093,291,42.9,8.76570187438657,17.3,14.7892841997468,1012,265,39.7,7.88763396565824,,,98133,53033000402
2,53033000500,2898252,953717,Census Tract 5,Washington,King County,1263,87,51,41,10,15,0,13,0,13,28,25,10,14,17,24,10,16,38,30,27,24,79,61,86,58,163,76,110,52,202,97,432,99,270,95,21.4,7.3762193122287,6.8,4.56822448649547,907,166,71.8,12.1768741934173,,,98177,53033000500
3,53033000700,1294438,0,Census Tract 7,Washington,King County,2345,234,83,56,63,40,171,116,31,31,43,42,89,84,54,56,77,47,94,68,56,48,342,136,285,132,290,165,100,83,294,135,273,108,1103,242,47.0,9.1907039399889,12.2,5.49680171567605,957,253,40.8,9.99083724750684,,,98125,53033000700
4,53033000800,1141931,0,Census Tract 8,Washington,King County,1144,127,9,14,0,13,16,18,8,11,10,15,17,15,55,46,24,34,26,23,59,36,36,30,262,84,97,52,89,57,126,79,310,113,260,85,22.7,6.98857513403106,22.9,6.88843586734598,622,158,54.4,12.4224330984441,,,98125,53033000800
5,53033000900,1004853,1849039,Census Tract 9,Washington,King County,892,111,9,8,0,13,5,8,5,7,36,35,8,9,37,54,27,19,12,12,23,25,67,36,135,72,90,40,54,25,105,39,279,48,229,84,25.7,8.85858925055687,15.1,7.84896095319359,528,78,59.2,4.71249521219139,,,98125,53033000900
6,53033001000,954203,0,Census Tract 10,Washington,King County,769,81,71,33,12,13,0,13,8,9,9,12,28,20,29,16,4,6,3,6,62,58,40,25,69,35,70,32,103,38,129,42,132,44,266,80,34.6,9.74423554107995,9.0,4.45215655593623,434,79,56.4,8.37842679524041,,,98125,53033001000
7,53033001100,1060685,0,Census Tract 11,Washington,King County,1076,153,24,23,0,13,9,15,7,11,30,46,0,13,25,25,21,24,22,28,92,70,24,24,132,77,108,54,167,78,144,57,271,126,254,104,23.6,9.06386632390031,12.3,6.94027331652411,690,168,64.1,12.6741282064765,,,98125,53033001100
8,53033001300,1180877,0,Census Tract 13,Washington,King County,2410,220,57,45,119,71,27,31,163,108,7,20,120,107,64,57,85,84,67,63,253,117,68,46,457,143,375,173,200,116,155,161,193,101,1030,248,42.7,9.52219498044742,19.0,5.67549641025918,923,282,38.3,11.1667386417108,,,98133,53033001300
9,53033001400,2152767,213389,Census Tract 14,Washington,King County,2248,232,39,42,0,18,81,93,43,42,149,110,0,18,50,40,12,20,35,41,170,110,166,78,309,116,182,87,242,114,217,128,553,179,745,216,33.1,8.97921394479518,13.7,4.96132035621639,1194,263,53.1,10.3356888877889,,,98133,53033001400
