,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was 45 minutes or more,x,y,zip,tract
36,53033004800,1278329,26886,Census Tract 48,Washington,King County,2320,366,29,36,182,104,287,167,187,96,474,146,165,101,306,110,149,87,148,79,314,197,66,46,13,21,1.3,1.53914282645726,7.8,4.30853778839559,12.4,6.92867227010587,8.1,3.93770681496094,20.4,5.40502677460637,7.1,4.20638204441654,13.2,4.26040195693728,6.4,3.6105323306667,6.4,3.25305639642252,13.5,8.21854751599742,2.8,1.93129848288567,0.6,0.900845533561823,16.939655172413794,,,98107,53033004800
37,53033005000,757380,0,Census Tract 50,Washington,King County,2583,494,0,13,211,173,67,50,392,172,265,98,402,153,659,251,121,92,162,94,161,167,134,105,9,22,0.0,0.503290747193186,8.2,6.51288124301156,2.6,1.87108738083792,15.2,5.99308521106083,10.3,3.24728140934391,15.6,5.12118466431262,25.5,8.40352905516921,4.7,3.4472323518381,6.3,3.43582194052469,6.2,6.35450310743324,5.2,3.9421020393982,0.3,0.849111969506402,11.769260549748354,,,98103,53033005000
38,53033005100,881731,0,Census Tract 51,Washington,King County,1696,198,7,10,214,82,157,67,390,143,227,70,113,49,259,93,31,24,89,51,145,71,64,37,0,13,0.4,0.587650464708476,12.6,4.60503406268823,9.3,3.79977251217271,23.0,7.99280390737145,13.4,3.82013933915059,6.7,2.78247254586501,15.3,5.18557010442669,1.8,1.39891259986307,5.2,2.9440071869717,8.5,4.06559266448366,3.8,2.13665913872218,0.0,0.766509433962264,12.32311320754717,,,98103,53033005100
39,53033005600,3022785,1546484,Census Tract 56,Washington,King County,2249,321,0,18,102,69,115,75,308,145,558,254,190,86,432,165,56,49,91,59,221,103,39,43,137,169,0.0,0.800355713650511,4.5,2.99896187367201,5.1,3.25397247883336,13.7,6.14385959156735,24.8,10.7243507909221,8.4,3.62882820033335,19.2,6.80507469525236,2.5,2.14956445683254,4.0,2.55903016947957,9.8,4.35976404391724,1.7,1.89587281861696,6.1,7.46398159836209,17.652289906625164,,,98199,53033005600
40,53033005700,5085640,2365806,Census Tract 57,Washington,King County,2776,467,32,37,154,97,186,110,438,157,726,430,217,98,486,154,77,57,63,50,309,127,61,53,27,31,1.2,1.3186702767604,5.5,3.36730294329469,6.7,3.79883809428153,15.8,4.99406224229271,26.2,14.8519634413193,7.8,3.27618850520175,17.5,4.70118446243736,2.8,1.99958978491502,2.3,1.76022488242392,11.1,4.17414345922321,2.2,1.87309273651996,1.0,1.10466264240462,14.301152737752162,,,98199,53033005700
41,53033005801,1822365,260223,Census Tract 58.01,Washington,King County,3308,434,40,49,110,69,349,137,701,232,606,191,270,141,411,131,202,88,201,103,340,147,71,54,7,12,1.2,1.47273779214102,3.3,2.03971873093333,10.6,3.90332382766915,21.2,6.43869978789319,18.3,5.24987953699277,8.2,4.1256898854151,12.4,3.60905912341976,6.1,2.53671592794867,6.1,3.0098855955229,10.3,4.23423838935743,2.1,1.60793576226438,0.2,0.361693042276368,12.6360338573156,,,98199,53033005801
42,53033006000,1340653,160754,Census Tract 60,Washington,King County,3334,648,65,68,120,93,500,203,575,242,536,212,220,116,580,403,153,80,160,116,167,86,231,138,27,31,1.9,2.00408311123025,3.6,2.70029681576514,15.0,5.34574711844127,17.2,6.43818479543386,16.1,5.53801972369289,6.6,3.23429775165498,17.4,11.6050457533249,4.6,2.2275864011911,4.8,3.35194579023322,5.0,2.38870881391519,6.9,3.91398405038745,0.8,0.916394597583033,12.74745050989802,,,98109,53033006000
43,53033006100,1227451,652743,Census Tract 61,Washington,King County,2748,365,1,5,161,106,337,139,757,193,467,157,134,93,345,146,96,69,121,74,198,108,83,68,48,75,0.0,0.181886298054904,5.9,3.77803871500678,12.3,4.78877635410612,27.5,5.99489414770643,17.0,5.24843609232816,4.9,3.32172410106219,12.6,5.04447927441405,3.5,2.46767011202759,4.4,2.62859004385879,7.2,3.81182729329375,3.0,2.44179021276846,1.7,2.71937863083393,11.972343522561864,,,98102,53033006100
44,53033006200,2437426,239356,Census Tract 62,Washington,King County,1984,323,43,49,109,70,373,151,310,90,366,117,133,87,295,98,61,39,169,126,70,41,37,36,18,19,2.2,2.44442287593069,5.5,3.41297154911308,18.8,6.96831435284028,15.6,3.7559384322698,18.4,5.07511832301085,6.7,4.24709904305392,14.9,4.30569678742439,3.1,1.90092762836848,8.5,6.19754779584895,3.5,1.98509847768965,1.9,1.78893479374202,0.9,0.946202268079793,6.300403225806452,,,98112,53033006200
45,53033006300,2610569,3533560,Census Tract 63,Washington,King County,1899,367,0,18,80,64,208,117,318,146,525,173,206,119,286,160,36,42,85,62,93,65,38,45,24,29,0.0,0.947867298578199,4.2,3.27037732689983,11.0,5.78608500566096,16.7,6.97394607293537,27.6,7.37880656560965,10.8,5.90536975314327,15.1,7.90678534033966,1.9,2.18113458337962,4.5,3.14819418440945,4.9,3.2894007069949,2.0,2.33789929336841,1.3,1.50746077676897,8.162190626645604,,,98112,53033006300
