Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Percent of Housing Units that are Vacant (Vacancy Rate),Percent of Housing Units that are Vacant (Vacancy Rate) - Margin of Error,Percent of Total Housing Units (including Vacant) that are Owner-Occupied,Percent of Total Housing Units (including Vacant) that are Owner-Occupied - Margin of Error,Percent of Total Housing Units (including Vacant) that are Renter-Occupied,Percent of Total Housing Units (including Vacant) that are Renter-Occupied - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of Occupied Housing Units that are Renter-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Lower Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Upper Contract Rent Quartile (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Lower Home Value Quartile (for Owner-Occupied Housing Units),Lower Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Upper Home Value Quartile (for Owner-Occupied Housing Units),Upper Home Value Quartile (for Owner-Occupied Housing Units) - Margin of Error,Housing Units per Gross Land Acre,Gross Land Acre,Percent Owner-Occupied Housing Units,x,y
53033007503,187541,0,Census Tract 75.03,Washington,King County,1798,240,1662,352,136,206,7.6,11.4126008395638,15.9,8.35701124246138,76.6,15.376966538723,1662,352,285,155,1377,332,17.1,8.58988931038087,82.9,9.54589443352365,1834,118,590200,132950,1595,105,2273,450,477400,71741,717400,153900,38.79817131973842,46.34239034573453,92.43604004449388,,
53033007901,267231,0,Census Tract 79.01,Washington,King County,2163,301,2032,308,131,126,6.1,5.76395178253528,29.1,6.79145534059452,64.9,8.75552505958136,2032,308,629,171,1403,272,31,6.98596700363154,69,8.34584714651515,1445,392,542100,95192,536,399,1989,233,393800,52770,739600,89650,32.755744811234614,66.0342181948533,93.94359685621822,,
53033007902,431244,0,Census Tract 79.02,Washington,King County,2055,233,1930,259,125,101,6.1,4.86621245115229,25.2,8.43402741214043,68.7,7.05603997303616,1930,259,518,183,1412,216,26.8,8.77115078589469,73.2,5.3723978882416,1864,211,732200,139036,1327,300,2334,122,555300,86041,1013600,187033,19.284418909090544,106.56271312542826,93.91727493917274,,
53033008003,197152,0,Census Tract 80.03,Washington,King County,3030,391,2826,383,204,203,6.7,6.6430985072177,30.3,8.00534560232194,62.9,9.338666377306,2826,383,919,270,1907,375,32.5,8.47688248803054,67.5,9.61478223332384,1732,358,555800,83878,1266,515,2341,216,424600,67830,721400,122743,62.19553927868736,48.717320167015494,93.26732673267327,,
53033008004,284626,526767,Census Tract 80.04,Washington,King County,2412,283,2154,277,258,235,10.7,9.66178193838404,33,8.26065157357441,56.3,8.77531626013023,2154,277,795,220,1359,265,36.9,9.04374554096291,63.1,9.2481073546511,2229,164,633700,37124,1730,234,2847,400,540300,32181,727100,83978,34.29418848182743,70.33261630547473,89.30348258706468,,
53033008101,270324,277671,Census Tract 81.01,Washington,King County,2160,197,1833,178,327,172,15.1,7.84234555946658,13.3,3.9368357709996,71.5,6.2404677279922,1833,178,288,89,1545,195,15.7,4.6094713031256,84.3,6.79541414283806,1749,240,972200,291774,686,635,2404,141,640100,106149,1622500,329331,32.33604812145364,66.79851513973126,84.86111111111111,,
53033008102,556705,91220,Census Tract 81.02,Washington,King County,1764,343,1460,349,304,179,17.2,9.57812978786118,17,8.26748895687626,65.8,14.5638591935217,1460,349,299,157,1161,342,20.5,9.57449217947198,79.5,13.6888533508511,2241,109,1010800,412918,1544,1269,2629,272,659700,128422,2000001,,12.823047626864257,137.56480138968087,82.76643990929705,,
53033008401,250921,0,Census Tract 84.01,Washington,King County,2279,244,2153,274,126,129,5.5,5.62934174707395,15.8,5.81431281018269,78.7,8.88369415383842,2153,274,360,138,1793,279,16.7,6.04611506569536,83.3,7.4565112982753,1800,217,1066000,204034,1326,181,2268,143,,,1365400,943610,36.75573501878849,62.00392942312376,94.47125932426503,,
53033008402,145446,0,Census Tract 84.02,Washington,King County,2375,420,2099,428,276,163,11.6,6.54824675568668,5.3,3.62609090937646,83,11.5710251690533,2099,428,127,89,1972,444,6.1,4.05665656287688,93.9,8.96987540725695,1732,94,414700,235918,1390,222,2056,223,352000,125442,588000,234571,66.08145980776246,35.94048931287401,88.37894736842105,,
53033009801,1004708,0,Census Tract 98.01,Washington,King County,1784,227,1461,255,323,205,18.1,11.2577287641933,51.5,8.25154754739778,30.4,9.62246493053566,1461,255,919,188,542,185,62.9,6.71182188892015,37.1,10.8818629104267,1559,225,763400,84727,1293,149,1904,220,586000,75738,930400,55917,7.185761293392174,248.26875360311743,81.89461883408072,,
