zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
98103,53033003500,SEATTLE,WA,0.0676281706,0.0299401198,0.0416961131,0.062411985
98103,53033001800,SEATTLE,WA,0.092347433,0.0175898204,0.1159010601,0.0883595506
98103,53033001702,SEATTLE,WA,0.0156423779,0.002994012,0.0098939929,0.0141423221
98103,53033004800,SEATTLE,WA,0.0207010368,0.0288173653,0.0272084806,0.0219026217
98103,53033002700,SEATTLE,WA,0.0567933125,0.0314371257,0.0286219081,0.0523745318
98103,53033004500,SEATTLE,WA,0.0005381552,0,0,0.0004494382
98103,53033004600,SEATTLE,WA,0.0507300972,0.0175898204,0.019434629,0.045423221
98103,53033002800,SEATTLE,WA,0.0813690668,0.0591317365,0.0505300353,0.0769737828
98103,53033002900,SEATTLE,WA,0.0151400997,0.0396706587,0.0134275618,0.0169588015
98108,53033010900,SEATTLE,WA,0.119245283,0.5846329403,0.3612684032,0.2316415109
98108,53033011200,SEATTLE,WA,0.1645283019,0.1745910993,0.1925254813,0.1685305388
98108,53033010401,SEATTLE,WA,0.1197843666,0.0083682008,0.013590034,0.0895440682
98108,53033011002,SEATTLE,WA,0.131212938,0.0148345378,0.0249150623,0.0999452569
98108,53033011300,SEATTLE,WA,0.0001078167,0.0038037277,0,0.0008602487
98108,53033009300,SEATTLE,WA,0.0189757412,0.0589577786,0.0113250283,0.0266677094
98108,53033010402,SEATTLE,WA,0.1898652291,0.0376569038,0.087202718,0.1514819739
98108,53033011700,SEATTLE,WA,0.0044204852,0.0019018638,0.0022650057,0.0037538125
98108,53033010001,SEATTLE,WA,0.131212938,0.019399011,0.0724801812,0.1041682959
98108,53033011001,SEATTLE,WA,0.0017250674,0,0,0.0012512708
