Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,All Owner-Occupied Housing Units,All Owner-Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units with a Householder who is not a high school graduate,Owner-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Owner-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Owner-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Owner-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,All Renter-Occupied Housing Units,All Renter-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units with a Householder who is not a high school graduate,Renter-Occupied Housing Units with a Householder who is not a high school graduate - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency),Renter-Occupied Housing Units with a Householder whose highest level of education is high school (including equivalency) - Margin of Error,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree,Renter-Occupied Housing Units with a Householder whose highest level of education is some college or associate's degree - Margin of Error,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher,Renter-Occupied Housing Units with a Householder who holds a bachelor's degree or higher - Margin of Error,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied,Overall Homeownership Rate: Percent of all Occupied Housing Units that are Owner-Occupied - Margin of Error,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied,Overall Renter Rate: Percent of all Occupied Housing Units that are Renter-Occupied - Margin of Error,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree,Homeownership Rate among Households with a Householder who does not hold a bachelor's degree - Margin of Error,Renter Rate among Households with a householder who does not hold a bachelor's degree,Renter Rate among Households with a householder who does not hold a bachelor's degree - Margin of Error,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher,Homeownership Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Renter Rate among Households with a Householder who holds a bachelor's degree or higher,Renter Rate among Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Households with a Householder who does not hold a bachelor's degree,Households with a Householder who does not hold a bachelor's degree - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied,Households with a Householder who does not hold a bachelor's degree that are Owner-Occupied - Margin of Error,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied,Households with a Householder who does not hold a bachelor's degree that are Renter-Occupied - Margin of Error,Households with a Householder who holds a bachelor's degree or higher,Households with a Householder who holds a bachelor's degree or higher - Margin of Error,Percent Difference Home Ownership with and without Bachelor's Degree,x,y
53033000300,1211013,0,Census Tract 3,Washington,King County,1127,114,786,122,48,49,52,43,226,59,460,121,341,102,37,32,31,33,62,42,211,86,69.7,8.21071998119175,30.3,8.51736221364694,71.5,9.25878809939099,28.5,11.8014415351393,68.6,9.82563415029538,31.4,10.7778332879599,456,108,326,88,130,62,671,148,-2.9000000000000057,,
53033000402,1798938,0,Census Tract 4.02,Washington,King County,2546,435,1050,243,21,31,48,40,334,213,647,138,1496,430,66,77,320,152,513,388,597,187,41.2,6.43776096333635,58.8,13.5815510469608,31,12.4230821284413,69,20.5084761609143,52,5.38320602106455,48,12.0774049397022,1302,477,403,219,899,424,1244,232,21,,
53033000500,2898252,953717,Census Tract 5,Washington,King County,1263,87,1147,110,8,13,36,29,153,87,950,114,116,63,0,13,9,13,38,45,69,35,90.8,6.05972269870358,9.2,4.94783965260509,80.7,15.6719771503305,19.3,18.2914239108488,93.2,2.57378829352875,6.8,3.34247340624021,244,105,197,93,47,49,1019,119,12.5,,
53033000700,1294438,0,Census Tract 7,Washington,King County,2345,234,1051,204,44,39,184,141,112,70,711,163,1294,194,101,98,201,114,520,169,472,164,44.8,7.46171718373092,55.2,6.17424050794976,29.3,12.0566099174542,70.7,9.58377937496646,60.1,7.21936632323035,39.9,11.4667863034921,1162,278,340,162,822,226,1183,231,30.8,,
53033000800,1141931,0,Census Tract 8,Washington,King County,1144,127,893,134,0,13,34,23,100,45,759,147,251,76,10,14,1,2,62,40,178,66,78.1,7.88079365591364,21.9,6.18073695917366,64.7,13.857842150786,35.3,16.7746046429702,81,7.23904392763348,19,6.24179462922749,207,67,134,52,73,42,937,161,16.299999999999997,,
53033000900,1004853,1849039,Census Tract 9,Washington,King County,892,111,711,118,0,13,18,15,59,32,634,112,181,63,0,13,4,6,33,19,144,58,79.7,8.75295407664041,20.3,6.59597854266744,67.5,20.0061542604825,32.5,16.705547632617,81.5,5.74981595184553,18.5,6.82580428479425,114,45,77,38,37,24,778,126,14,,
53033001000,954203,0,Census Tract 10,Washington,King County,769,81,527,79,11,12,24,16,68,29,424,74,242,56,0,13,41,27,108,45,93,35,68.5,7.30961225571397,31.5,6.48404205231914,40.9,9.04178707437801,59.1,15.0529211195864,82,5.97269563186179,18,6.13925168947381,252,65,103,35,149,54,517,82,41.1,,
53033001100,1060685,0,Census Tract 11,Washington,King County,1076,153,746,119,0,13,76,59,45,30,625,119,330,149,24,38,28,44,76,56,202,119,69.3,5.01242053515505,30.7,13.142971974138,48.6,17.4388848811532,51.4,24.2551723704453,75.6,21.0416733113033,24.4,13.506776830214,249,105,121,67,128,81,827,168,26.999999999999993,,
53033001300,1180877,0,Census Tract 13,Washington,King County,2410,220,1075,169,27,31,52,57,214,138,782,172,1335,213,124,100,230,113,389,129,592,184,44.6,5.70912099679608,55.4,7.2486409006512,28.3,12.9878650718545,71.7,8.33373973578535,56.9,6.90978047974485,43.1,10.8115136495665,1036,250,293,152,743,199,1374,252,28.599999999999998,,
53033001400,2152767,213389,Census Tract 14,Washington,King County,2248,232,1464,240,0,18,154,112,205,99,1105,211,784,150,22,35,17,27,122,80,623,151,65.1,8.29505560142481,34.9,5.61862939486285,69,17.240125282338,31,14.0155086363661,63.9,7.56539018623199,36.1,6.86723304342428,520,176,359,151,161,91,1728,259,-5.100000000000001,,
