Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings,Median Earnings of Total Full-Time Year-Round Civilian Employed Population 16 Years and Over with Earnings - Margin of Error,"Median Earnings of All Management, Business, Science, and Arts Occupations","Median Earnings of All Management, Business, Science, and Arts Occupations - Margin of Error","Median Earnings of All Management, Business, and Financial Occupations","Median Earnings of All Management, Business, and Financial Occupations - Margin of Error",Median Earnings of Management Occupations,Median Earnings of Management Occupations - Margin of Error,Median Earnings of Business and Financial Operations Occupations,Median Earnings of Business and Financial Operations Occupations - Margin of Error,"Median Earnings of All Computer, Engineering, and Science Occupations","Median Earnings of All Computer, Engineering, and Science Occupations - Margin of Error",Median Earnings of Computer and Mathematical Occupations,Median Earnings of Computer and Mathematical Occupations - Margin of Error,Median Earnings of Architecture and Engineering Occupations,Median Earnings of Architecture and Engineering Occupations - Margin of Error,"Median Earnings of Life, Physical, and Social Science Occupations","Median Earnings of Life, Physical, and Social Science Occupations - Margin of Error","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations","Median Earnings of All Education, Legal, Community Service, Arts, and Media Occupations - Margin of Error",Median Earnings of Community and Social Service Occupations,Median Earnings of Community and Social Service Occupations - Margin of Error,Median Earnings of Legal Occupations,Median Earnings of Legal Occupations - Margin of Error,"Median Earnings of Educational Instruction, and Library Occupations","Median Earnings of Educational Instruction, and Library Occupations - Margin of Error","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations","Median Earnings of Arts, Design, Entertainment, Sports, and Media Occupations - Margin of Error",Median Earnings of All Healthcare Practitioners and Technical Occupations,Median Earnings of All Healthcare Practitioners and Technical Occupations - Margin of Error,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations,Median Earnings of Health Diagnosing and Treating Practitioners and Other Technical Occupations - Margin of Error,Median Earnings of Health Technologists and Technicians Occupations,Median Earnings of Health Technologists and Technicians Occupations - Margin of Error,Median Earnings of All Service Occupations,Median Earnings of All Service Occupations - Margin of Error,Median Earnings of Healthcare Support Occupations,Median Earnings of Healthcare Support Occupations - Margin of Error,Median Earnings of All Protective Service Occupations,Median Earnings of All Protective Service Occupations - Margin of Error,"Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors","Median Earnings of Fire Fighting and Prevention, and Other Protective Service Workers including Supervisors - Margin of Error",Median Earnings of Law Enforcement Workers including Supervisors,Median Earnings of Law Enforcement Workers including Supervisors - Margin of Error,Median Earnings of Food Preparation and Serving Related Occupations,Median Earnings of Food Preparation and Serving Related Occupations - Margin of Error,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations,Median Earnings of Building and Grounds Cleaning and Maintenance Occupations - Margin of Error,Median Earnings of Personal Care and Service Occupations,Median Earnings of Personal Care and Service Occupations - Margin of Error,Median Earnings of All Sales and Office Occupations,Median Earnings of All Sales and Office Occupations - Margin of Error,Median Earnings of Sales and Related Occupations,Median Earnings of Sales and Related Occupations - Margin of Error,Median Earnings of Office and Administrative Support Occupations,Median Earnings of Office and Administrative Support Occupations - Margin of Error,"Median Earnings of All Natural Resources, Construction, and Maintenance Occupations","Median Earnings of All Natural Resources, Construction, and Maintenance Occupations - Margin of Error","Median Earnings of Farming, Fishing, and Forestry Occupations","Median Earnings of Farming, Fishing, and Forestry Occupations - Margin of Error",Median Earnings of Construction and Extraction Occupations,Median Earnings of Construction and Extraction Occupations - Margin of Error,"Median Earnings of Installation, Maintenance, and Repair Occupations","Median Earnings of Installation, Maintenance, and Repair Occupations - Margin of Error","Median Earnings of All Production, Transportation, and Material Moving Occupations","Median Earnings of All Production, Transportation, and Material Moving Occupations - Margin of Error",Median Earnings of Production Occupations,Median Earnings of Production Occupations - Margin of Error,Median Earnings of Transportation Occupations,Median Earnings of Transportation Occupations - Margin of Error,Median Earnings of Material Moving Occupations,Median Earnings of Material Moving Occupations - Margin of Error,Occupation with Highest Median Earnings,Highest Median Earnings,x,y
53033011002,1719569,0,Census Tract 110.02,Washington,King County,41021,4964,73403,13180,74167,47367,91607,71356,58750,43779,124000,133202,111250,70644,190329,202811,,,54625,19226,,,,,70250,38355,60781,20601,59048,23305,,,,,36250,9356,,,,,,,,,40519,14634,34375,5758,,,49097,14863,32196,57813,49722,17140,21694,17074,,,32500,17979,7396,29296,34970,9342,42596,15289,63167,33093,33621,5653,"Computer, Engineering, and Science Occupations",124000,,
53033011101,1136851,0,Census Tract 111.01,Washington,King County,48578,7213,80561,24667,58750,15671,54766,17043,99479,134395,81250,12910,81300,38961,64455,20183,93261,22549,53646,62666,39161,27949,,,84926,18379,95577,38700,91968,43371,117733,55072,70625,71953,37019,9996,30550,19421,,,,,,,41318,11309,,,29808,29755,42332,3048,44402,3604,41265,13671,53839,13143,,,,,63942,40413,45682,8422,46518,14932,,,30938,27097,Healthcare Practitioners and Technical Occupations,91968,,
53033011102,1303226,1143440,Census Tract 111.02,Washington,King County,67590,11609,89226,15249,130833,27328,128214,34330,148088,52494,107813,20429,108021,23560,102083,121064,,,68468,13845,77143,34196,96957,5457,60877,2413,103839,14075,83779,4866,84128,6988,,,39953,3793,,,41017,11393,41017,11393,,,32500,39299,36346,7157,,,53500,10422,,,53571,9714,68297,18834,,,68415,24753,,,36607,12230,45000,30883,,,40583,12664,"Management, Business, and Financial Occupations",130833,,
53033011200,2483779,139646,Census Tract 112,Washington,King County,49889,5378,66953,21441,81500,39638,125333,63927,44914,56716,66563,35802,65781,33004,,,,,62692,26318,,,,,48594,24201,,,78906,34945,100972,127942,,,36866,10748,,,,,,,,,37031,22714,37333,22526,,,62699,15273,73750,11030,54875,13811,23362,25286,53229,19581,12813,16156,50000,4519,38074,6063,34643,8867,,,37917,16119,"Management, Business, and Financial Occupations",81500,,
53033011300,3419308,42220,Census Tract 113,Washington,King County,77708,9242,92266,15062,82279,25275,105096,43045,77903,20842,104548,28997,111250,47100,93214,15161,,,74193,8029,71923,5020,119554,55440,73558,36216,40917,85568,90000,15379,92880,19120,,,39331,59953,,,,,,,,,37587,23860,,,,,80938,26043,85417,52498,80547,45108,56641,28601,,,79911,90723,32460,51933,56071,86765,44808,24940,,,165714,178386,"Computer, Engineering, and Science Occupations",104548,,
53033011401,1233155,0,Census Tract 114.01,Washington,King County,58350,11319,70262,5809,71723,12411,79929,17030,60938,2825,85208,16659,69681,27942,108125,34903,,,65066,18800,,,,,65855,29116,14602,82905,75227,37270,66250,29371,,,31775,5124,,,,,,,,,32529,4057,,,,,45378,3382,45011,16963,45925,5543,74671,26746,,,,,74737,27672,37500,21793,36250,27376,60536,59299,,,"Computer, Engineering, and Science Occupations",85208,,
53033011402,1186191,0,Census Tract 114.02,Washington,King County,48402,7390,74107,14909,79063,39051,105000,11036,58529,23025,66652,27901,65625,16163,56250,30792,101359,6469,66167,5699,66208,13388,96071,72226,42243,39252,64125,32627,132763,52579,111607,50236,250001,,36620,8222,48472,37629,45278,28757,,,,,7378,46978,43478,50452,41420,5112,46618,4814,47390,29350,44327,5641,60893,50755,,,61786,84155,58750,54751,43963,3985,43750,8155,43225,1971,49391,22599,Healthcare Practitioners and Technical Occupations,132763,,
53033011500,1538373,0,Census Tract 115,Washington,King County,82358,4275,93929,5031,94363,8217,104500,27275,83846,11081,120119,37632,126591,83551,107500,54589,71000,183518,85568,10370,,,88281,126302,64712,35419,92750,14110,93250,23963,93250,23963,,,45625,10471,,,,,,,,,52738,16641,,,,,59605,7864,80417,14833,46953,20171,98472,96430,,,44375,84836,,,82578,42971,83000,6534,26944,100900,,,"Computer, Engineering, and Science Occupations",120119,,
53033011700,3515808,0,Census Tract 117,Washington,King County,47122,7116,69792,19828,68125,18434,70909,59426,66875,28887,95739,17144,105417,48453,84125,44553,,,62813,19870,51696,26233,,,64000,15277,,,98594,61604,67434,122784,,,32839,7658,33828,16265,39554,224054,39554,224054,,,29720,14222,33571,19065,,,53698,10650,55969,5897,43750,16943,44821,27773,,,55804,38937,,,40625,11695,38239,5700,68309,24626,32000,4242,Healthcare Practitioners and Technical Occupations,98594,,
53033012000,1437048,0,Census Tract 120,Washington,King County,82692,13363,102802,25161,104250,18857,107833,18860,102750,56506,128693,15262,129773,40211,128523,76319,124000,60405,57841,30105,58295,14374,,,29883,77283,62206,20659,87222,44539,86528,35115,,,47895,22668,,,,,,,,,,,,,,,64838,11460,140357,68175,63356,3153,52833,9957,,,53333,21472,49700,105061,39844,74353,,,66000,124538,,,"Computer, Engineering, and Science Occupations",128693,,
53033012100,1739952,1380849,Census Tract 121,Washington,King County,120583,22945,132375,23571,132875,32187,141000,50565,101042,92106,148555,36247,141250,65492,237833,82569,147734,81740,100000,73623,80341,29400,229934,133660,93571,30148,,,121667,74541,81667,86856,,,90536,99905,,,,,,,,,,,,,91607,59103,107292,53869,122143,186150,98375,48355,,,,,,,,,93409,73530,,,93409,73530,,,"Computer, Engineering, and Science Occupations",148555,,
53033000101,414848,0,Census Tract 1.01,Washington,King County,58431,5767,75595,15716,82250,42827,102708,66791,69821,49246,78275,10107,78785,1085,76250,56275,,,58728,854,,,,,,,,,77554,39782,78641,23111,,,38194,22300,,,,,,,,,37708,16401,,,,,46287,18874,55694,7352,39111,14523,,,,,,,,,36837,32003,,,,,63315,29709,"Management, Business, and Financial Occupations",82250,,
53033000102,1495019,918878,Census Tract 1.02,Washington,King County,78926,15480,106161,26227,63917,43730,73583,77198,,,102393,23113,100761,26796,,,67216,225582,150313,124390,,,,,34776,92290,,,134345,37217,155714,51769,,,35999,538,,,,,,,,,,,,,,,68750,16207,66083,115710,69931,18375,,,,,,,,,,,,,,,,,"Education, Legal, Community Service, Arts, and Media Occupations",150313,,
53033000201,1806749,0,Census Tract 2.01,Washington,King County,82515,19391,84944,39667,85197,45422,101389,181808,64609,42268,170174,113725,170630,76432,,,,,61205,22601,,,,,45588,41296,83077,61884,,,,,,,38472,24665,,,,,,,,,14500,32907,,,,,57314,17671,90417,43712,55980,5486,108152,49800,,,108152,49800,,,83716,412,,,,,,,"Computer, Engineering, and Science Occupations",170174,,
53033000202,1480085,0,Census Tract 2.02,Washington,King County,68311,8579,94327,13327,88219,17199,79167,22212,97292,30957,113092,15260,124444,21347,121250,41186,98750,10386,61822,8484,60466,5143,,,84333,124177,,,100481,204040,,,,,34487,2338,,,,,,,,,,,49531,105396,,,46806,11300,39151,13763,49667,11862,60179,99342,,,17193,91177,,,105179,144432,39188,105960,,,,,"Computer, Engineering, and Science Occupations",113092,,
53033000403,669384,62871,Census Tract 4.03,Washington,King County,66729,21360,95563,44847,168981,73081,169907,75225,,,89306,81724,163393,31688,,,82625,14238,39676,45558,6839,75678,,,,,,,,,,,,,37064,3019,,,,,,,,,36715,1058,,,,,58309,29104,,,48355,49711,,,,,,,,,31786,33892,,,,,,,"Management, Business, and Financial Occupations",168981,,
53033000404,617482,13535,Census Tract 4.04,Washington,King County,62379,12676,83162,21651,85972,42000,69196,85460,86285,44259,82966,26866,,,,,,,,,,,,,,,,,,,,,,,34583,26169,34167,31801,,,,,,,,,,,,,53750,15204,46875,8184,59688,31898,52891,46942,,,,,,,62533,44172,63816,527,,,,,"Management, Business, and Financial Occupations",85972,,
53033000601,1431268,0,Census Tract 6.01,Washington,King County,70804,14836,83014,15146,95608,32360,82269,33754,120724,55114,110986,15195,203289,117527,84931,42233,111726,74121,70359,27390,,,,,46645,11102,57333,200645,64135,75732,68235,3766,,,39977,49958,38601,627,76270,564,,,76387,655,,,,,,,47225,13929,62740,22012,40833,19924,41818,23839,,,27472,55843,,,67833,40395,67833,40395,,,,,"Computer, Engineering, and Science Occupations",110986,,
53033000602,2355577,55191,Census Tract 6.02,Washington,King County,70757,11657,98184,14941,97616,22224,98023,34301,94028,27905,125259,96827,142155,74771,126379,1890,70435,6078,99524,46061,,,,,107939,36573,,,96302,56099,115250,88443,,,34462,4440,36359,9706,,,,,,,34354,35274,,,,,45323,7335,,,60156,49925,76786,51257,,,32321,40197,,,38472,23531,,,,,,,"Computer, Engineering, and Science Occupations",125259,,
53033001201,1008240,0,Census Tract 12.01,Washington,King County,55155,9206,62639,19597,56220,15601,67784,16611,50842,3628,77917,23293,,,,,,,55234,31708,,,,,,,,,56683,114399,,,,,32079,4908,,,,,,,,,31750,2069,,,,,43594,35721,,,65938,6634,61967,20835,,,,,,,27941,43382,,,,,,,"Computer, Engineering, and Science Occupations",77917,,
53033001202,821426,0,Census Tract 12.02,Washington,King County,55547,8076,65583,13692,67868,33930,138750,95503,56997,19991,69911,54604,120294,95589,,,64792,7135,46714,19590,,,,,47885,35149,,,59167,46839,,,,,48125,13389,,,,,,,,,53380,35843,,,,,36509,55049,92375,272318,34879,16175,53519,26941,,,,,,,43750,33022,58438,92481,,,,,"Computer, Engineering, and Science Occupations",69911,,
53033003201,1152079,1354300,Census Tract 32.01,Washington,King County,89797,50518,138385,77148,86131,42083,49491,137385,86786,25399,171603,60780,171603,60780,,,,,168133,124215,,,,,125125,257577,168411,69669,,,,,,,38958,23666,,,,,,,,,,,,,,,68405,17228,46523,56450,68944,4670,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",171603,,
53033003202,956016,0,Census Tract 32.02,Washington,King County,91596,41564,130123,41991,179896,74927,183654,58463,117838,51008,145114,83861,146932,89795,,,,,87676,39478,,,,,62480,260292,66837,16052,77078,72748,,,,,29716,76044,,,,,,,,,,,,,,,44357,132210,147600,224001,,,,,,,,,,,58696,14135,,,,,,,"Management, Business, and Financial Occupations",179896,,
53033003301,669207,0,Census Tract 33.01,Washington,King County,80443,8384,82261,18040,81024,24043,72935,30574,95703,11906,146667,14448,147083,41050,116042,130034,150735,134255,72902,16959,58571,87527,76250,142569,66029,29919,64583,22447,,,,,,,,,,,,,,,,,,,,,,,53920,25541,129107,95314,51250,3697,42120,70584,,,,,,,74444,78542,,,,,,,"Computer, Engineering, and Science Occupations",146667,,
53033003302,627071,0,Census Tract 33.02,Washington,King County,109201,25791,120714,23622,122647,37389,140192,35218,95357,27620,146518,124554,209583,130141,85846,26012,,,85625,58900,,,126875,63256,57969,27613,82857,60398,121607,57267,121607,57267,,,,,,,,,,,,,,,,,,,89706,125871,75903,22351,202202,167467,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",146518,,
53033003601,674139,0,Census Tract 36.01,Washington,King County,87010,15470,96758,11646,115646,59912,94722,67640,116563,60653,104669,49510,130603,47431,96827,26003,,,70227,33378,53542,14052,,,72813,65600,78378,48025,,,,,,,43243,16186,,,,,,,,,,,,,,,39516,41388,41563,363765,38508,41486,,,,,,,,,45417,16430,,,,,,,"Management, Business, and Financial Occupations",115646,,
53033003602,522326,0,Census Tract 36.02,Washington,King County,93819,13919,97917,17278,93042,14520,140313,101623,81184,33942,105450,7356,105868,2221,105438,23409,58889,15832,72165,20288,,,,,71451,13054,91600,62479,106844,40573,106844,40573,,,42974,5135,38125,2428,,,,,,,,,,,,,98667,51042,110658,34239,48636,27861,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,106844,,
53033004101,1601973,3290570,Census Tract 41.01,Washington,King County,194044,36599,218810,54491,222031,67333,232396,84936,175592,120640,166375,60273,190755,75206,,,127237,85827,250001,,,,250001,,,,52727,17500,250001,,250001,,,,,,,,,,,,,,,,,,,,92240,94730,106339,137047,,,,,,,,,,,,,,,,,,,"Education, Legal, Community Service, Arts, and Media Occupations/Healthcare Practitioners and Technical Occupations",250001,,
53033004102,1689910,2027249,Census Tract 41.02,Washington,King County,113399,16711,108958,21720,94792,75289,136932,141607,88036,32829,135556,21021,156534,28577,,,75350,44646,115096,136565,50795,19773,,,48108,58740,,,100000,24905,103424,30682,,,,,,,,,,,,,,,,,,,182857,264951,183263,205856,,,,,,,,,,,62167,88103,,,,,,,Sales and Office Occupations,182857,,
53033004201,1244114,0,Census Tract 42.01,Washington,King County,137083,34149,154107,28166,188690,89894,188571,85531,250001,,147330,25206,149844,84340,145227,107593,153173,54429,117237,116310,,,,,184048,101436,,,158224,69446,158224,69446,,,,,,,,,,,,,,,,,,,91250,248722,220288,327970,,,36397,19398,,,,,,,46597,18624,,,,,,,"Management, Business, and Financial Occupations",188690,,
53033004202,1220977,0,Census Tract 42.02,Washington,King County,94525,26094,116884,24760,116814,40471,131389,50815,93716,38958,134313,46756,155192,31318,86667,77132,153897,93108,95268,22836,,,250001,,88967,11734,,,79519,138890,79519,138890,,,61157,665,,,,,,,,,,,,,,,45313,14815,,,45781,12397,81750,100094,,,,,81750,100094,,,,,,,,,"Computer, Engineering, and Science Occupations",134313,,
53033004401,694919,0,Census Tract 44.01,Washington,King County,75304,7960,86433,18240,103461,13417,104368,70086,66632,15612,99479,49717,99063,99606,114265,89204,52500,1965,86559,10111,,,,,86208,13985,,,69238,25831,69238,25831,,,41688,5428,,,,,,,,,42500,11679,,,,,65750,63779,123182,1593,32109,40893,75417,81950,,,,,,,37304,65947,,,,,,,"Management, Business, and Financial Occupations",103461,,
53033004402,294988,0,Census Tract 44.02,Washington,King County,54142,20695,77500,75162,49079,111922,49211,220426,,,148712,142456,176750,117527,57386,30594,,,70221,69893,,,,,71103,50553,41429,145552,38692,142606,225192,396292,,,40955,16078,,,,,,,,,41538,72510,,,,,26107,14310,34141,31646,25357,655,155511,182343,,,155511,182343,,,,,,,,,,,"Natural Resources, Construction, and Maintenance Occupations",155511,,
53033004701,571393,176916,Census Tract 47.01,Washington,King County,83975,20924,91586,6583,83150,21124,63996,92161,84575,15528,110944,30423,139483,56196,,,,,69943,63590,,,,,66494,27824,,,,,,,,,,,,,,,,,,,,,,,,,55079,12855,56766,33037,47739,7752,,,,,,,,,66990,31129,70208,37555,,,,,"Computer, Engineering, and Science Occupations",110944,,
53033004702,266414,0,Census Tract 47.02,Washington,King County,89985,49878,120808,42256,121831,45614,89083,98923,122151,63645,180013,142921,202132,34880,,,,,43063,119425,,,,,,,,,64240,22979,64240,22979,,,,,,,,,,,,,,,,,,,76094,31609,,,57365,42100,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",180013,,
53033004703,1188631,155567,Census Tract 47.03,Washington,King County,81300,13343,83090,11785,88427,17494,81169,35272,95481,28606,116058,105040,157886,61049,,,74065,88813,34762,22879,,,,,33065,3348,,,84757,7229,87722,7259,,,52894,17287,,,,,,,,,,,,,,,113050,131434,,,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",116058,,
53033004901,497144,0,Census Tract 49.01,Washington,King County,83679,17306,92153,20273,102938,26654,98452,28181,125682,78353,142850,16925,144350,44265,139943,81446,110234,158803,51199,8726,,,,,69904,75698,51115,1778,59471,15805,,,,,41563,20588,,,,,,,,,,,,,,,49779,34367,45592,5244,94079,143859,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",142850,,
53033004902,597604,17368,Census Tract 49.02,Washington,King County,84789,18152,96156,12093,96285,25475,104932,101898,72411,10575,133375,66484,171545,6241,81696,33062,76250,22593,71827,31564,,,109432,103817,64464,3237,,,93385,25455,93906,14654,,,25708,13818,,,,,,,,,45000,17715,,,,,60888,21354,44943,126242,61612,4054,,,,,,,,,37363,180899,,,,,,,"Computer, Engineering, and Science Occupations",133375,,
53033005201,699701,73218,Census Tract 52.01,Washington,King County,67500,20801,97458,28848,151726,51354,151964,53451,109706,351886,112632,13408,126375,64881,110625,9168,56888,3887,61339,27749,,,,,82823,41348,58724,9418,78816,76304,85147,122596,,,43125,13619,,,,,,,,,,,,,,,24701,15622,16250,22520,40910,11420,,,,,,,,,,,,,,,,,"Management, Business, and Financial Occupations",151726,,
53033005202,269234,19268,Census Tract 52.02,Washington,King County,84304,25313,84406,21472,92676,22248,93320,18179,,,106168,35185,106698,66058,,,,,19583,44399,,,,,54145,24266,,,,,,,,,41346,103027,,,,,,,,,,,,,,,102991,60029,103914,23843,36938,73312,,,,,,,,,36707,1628,,,,,,,"Computer, Engineering, and Science Occupations",106168,,
53033005303,2432843,749176,Census Tract 53.03,Washington,King County,32250,23145,32250,62330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Management, Business, Science, and Arts Occupations",32250,,
53033005304,73030,0,Census Tract 53.04,Washington,King County,6767,12326,6563,15915,,,,,,,,,,,,,,,6813,24968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7222,45914,,,,,,,,,,,,,,,,,,,,,Sales and Office Occupations,7222,,
53033005305,212967,0,Census Tract 53.05,Washington,King County,36422,4037,39960,22938,41250,97717,,,,,62688,13095,64469,2589,,,,,35172,11341,,,,,31161,9667,,,39315,80537,,,,,34015,4011,,,,,,,,,,,,,,,33489,4832,32778,18113,34315,20427,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",62688,,
53033005306,200489,0,Census Tract 53.06,Washington,King County,74931,34589,88714,19720,88446,6047,88542,30739,88413,23150,105458,53868,105104,69168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33897,108589,33897,108589,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",105458,,
53033005307,130030,0,Census Tract 53.07,Washington,King County,21994,6492,85469,53141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21304,414,,,,,,,,,,,,,,,,,,,,,"Management, Business, Science, and Arts Occupations",85469,,
53033005401,756239,615226,Census Tract 54.01,Washington,King County,98338,10116,105100,12803,83832,6754,81864,15448,84592,34459,119688,3156,121691,37588,116250,10701,39063,88234,84286,29680,,,106968,8260,77330,18229,120341,164574,79333,25122,79333,25122,,,,,,,,,,,,,,,,,,,93191,12797,93880,22235,82454,23999,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",119688,,
53033005402,463900,0,Census Tract 54.02,Washington,King County,73894,4550,74795,10529,92857,49564,138580,136746,81250,31986,101591,52514,124375,53214,80500,8151,145147,68141,73129,2108,62014,9754,,,73193,1754,106176,24929,,,,,,,43036,33746,,,,,,,,,38929,631,,,,,80089,44847,125234,51228,50789,4567,76083,65229,,,,,,,42143,27743,,,,,,,"Computer, Engineering, and Science Occupations",101591,,
53033005803,832097,0,Census Tract 58.03,Washington,King County,94423,29184,106930,8120,125658,23707,133421,34674,117083,28269,105458,12077,116161,28968,105511,20013,74200,50457,79491,129793,,,,,79398,167446,48977,177690,65625,55820,67250,128396,,,41359,10620,,,,,,,,,41495,11717,,,,,58239,11995,97500,118689,45875,23701,,,,,,,,,46197,5741,,,,,,,"Management, Business, and Financial Occupations",125658,,
53033005804,2334443,1169687,Census Tract 58.04,Washington,King County,82470,8957,89279,7450,89194,15972,81776,11693,105027,35317,87411,38495,89444,69678,,,,,94655,38506,,,98750,46198,,,,,83819,24731,,,,,54080,21443,,,,,,,,,,,,,,,75417,42626,81202,13299,53382,10395,,,,,,,,,80424,24557,,,,,,,"Education, Legal, Community Service, Arts, and Media Occupations",94655,,
53033005901,778385,173882,Census Tract 59.01,Washington,King County,90281,26729,91156,26178,87414,61646,147778,127406,72470,51783,115350,37307,250001,,103299,17002,,,70227,19418,,,69500,47407,,,87500,71083,56250,45645,56250,45645,,,34028,119562,,,,,,,,,,,,,,,69408,91832,69408,91832,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",115350,,
53033005902,1022976,0,Census Tract 59.02,Washington,King County,115664,26797,159344,29000,152935,54254,158472,27702,79632,15780,239722,22907,248306,14951,193750,47904,,,112083,53088,,,214792,144842,,,99214,39314,82279,107961,81103,80759,,,43438,20596,43711,211,,,,,,,,,,,,,51944,56207,72875,53006,38125,85370,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",239722,,
53033006701,380256,105441,Census Tract 67.01,Washington,King County,106742,13647,112188,14144,100083,25127,115241,7203,88625,26050,134107,31929,160739,45572,128810,55962,,,69034,33133,,,,,,,67784,83722,,,,,,,,,,,,,,,,,,,,,,,75709,36737,119688,27153,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",134107,,
53033006702,304748,0,Census Tract 67.02,Washington,King County,105227,14803,111331,17383,113965,21756,114222,32729,,,123000,46251,106951,60496,,,211314,161423,80750,1860,,,,,80750,1860,,,,,,,,,,,,,,,,,,,,,,,,,99973,57751,99973,57751,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",123000,,
53033006703,597133,0,Census Tract 67.03,Washington,King County,104388,19469,110781,6218,110859,23249,104758,22503,126167,62569,121344,50523,167647,134216,,,,,110750,35544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65903,69362,153353,160597,41938,51694,,,,,,,,,72845,81983,,,,,,,"Computer, Engineering, and Science Occupations",121344,,
53033007001,358281,0,Census Tract 70.01,Washington,King County,91594,13748,93680,18989,84057,31757,61838,169080,85500,12375,132054,80813,199618,48437,93485,113828,131116,43268,94112,72676,,,,,,,97656,121043,,,,,,,,,,,,,,,,,,,,,,,50946,23963,74310,27197,47027,5823,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",132054,,
53033007002,441021,0,Census Tract 70.02,Washington,King County,62560,8442,68157,14139,87679,5261,87584,19706,90450,11540,172802,154966,173793,79095,,,,,49091,15705,,,,,46823,32309,,,49927,39497,49927,39497,,,39418,104400,,,,,,,,,,,,,,,56689,13329,32335,243846,56926,10412,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",172802,,
53033007101,495054,0,Census Tract 71.01,Washington,King County,94267,22803,107578,11439,103478,19720,104183,22843,88778,13397,115515,24048,114734,21376,215909,141867,,,63525,2018,,,64116,130036,,,83563,54244,,,,,,,51508,1971,,,,,,,,,51949,7386,,,,,53750,37531,52014,95688,55547,55897,,,,,,,,,38750,10418,,,,,,,"Computer, Engineering, and Science Occupations",115515,,
53033007102,335908,0,Census Tract 71.02,Washington,King County,90104,13033,102917,13722,92426,49387,119531,210554,88125,43624,128382,31808,130212,32278,,,106250,73685,54803,105032,,,,,,,,,78700,3807,78700,3807,,,43015,52270,,,,,,,,,,,,,,,42607,11519,53403,15814,35805,2193,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",128382,,
53033007201,150744,0,Census Tract 72.01,Washington,King County,124346,13308,125616,11763,134542,37921,133583,61254,140871,60644,123772,11149,125317,21307,122888,12751,,,86106,102659,,,,,,,85625,61607,131500,168414,131500,168414,,,,,,,,,,,,,,,,,,,138935,151531,148438,57238,47824,10876,,,,,,,,,,,,,,,,,Sales and Office Occupations,138935,,
53033007202,280585,0,Census Tract 72.02,Washington,King County,119078,11973,118768,9612,126329,22565,163245,147025,125316,37530,207719,116514,207529,122695,,,,,79237,1048,,,,,,,74722,35880,,,,,,,,,,,,,,,,,,,,,,,126275,805,,,,,,,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",207719,,
53033007203,579631,0,Census Tract 72.03,Washington,King County,121855,21176,131603,28461,103705,69090,103705,125973,116250,51068,145829,27661,146039,35094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132870,163995,,,52727,51470,137740,182979,,,,,,,,,,,,,,,"Computer, Engineering, and Science Occupations",145829,,
53033007301,250787,0,Census Tract 73.01,Washington,King County,101875,34150,114741,34840,145395,65257,163080,60612,92183,61881,142083,51944,160909,44180,,,,,52155,32228,,,,,,,88080,22028,63262,12337,63262,12337,,,,,,,,,,,,,,,,,,,44963,34599,,,61667,75955,,,,,,,,,117821,134763,,,,,,,"Management, Business, and Financial Occupations",145395,,
