Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Commuters (Workers 16 Years and Over Who Did Not Work at Home),Total Commuters (Workers 16 Years and Over Who Did Not Work at Home) - Margin of Error,Workers whose commute was less than 5 minutes,Workers whose commute was less than 5 minutes - Margin of Error,Workers whose commute was 5 to 9 minutes,Workers whose commute was 5 to 9 minutes - Margin of Error,Workers whose commute was 10 to 14 minutes,Workers whose commute was 10 to 14 minutes - Margin of Error,Workers whose commute was 15 to 19 minutes,Workers whose commute was 15 to 19 minutes - Margin of Error,Workers whose commute was 20 to 24 minutes,Workers whose commute was 20 to 24 minutes - Margin of Error,Workers whose commute was 25 to 29 minutes,Workers whose commute was 25 to 29 minutes - Margin of Error,Workers whose commute was 30 to 34 minutes,Workers whose commute was 30 to 34 minutes - Margin of Error,Workers whose commute was 35 to 39 minutes,Workers whose commute was 35 to 39 minutes - Margin of Error,Workers whose commute was 40 to 44 minutes,Workers whose commute was 40 to 44 minutes - Margin of Error,Workers whose commute was 45 to 59 minutes,Workers whose commute was 45 to 59 minutes - Margin of Error,Workers whose commute was 60 to 89 minutes,Workers whose commute was 60 to 89 minutes - Margin of Error,Workers whose commute was 90 minutes or more,Workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was less than 5 minutes,Percent of workers whose commute was less than 5 minutes - Margin of Error,Percent of workers whose commute was 5 to 9 minutes,Percent of workers whose commute was 5 to 9 minutes - Margin of Error,Percent of workers whose commute was 10 to 14 minutes,Percent of workers whose commute was 10 to 14 minutes - Margin of Error,Percent of workers whose commute was 15 to 19 minutes,Percent of workers whose commute was 15 to 19 minutes - Margin of Error,Percent of workers whose commute was 20 to 24 minutes,Percent of workers whose commute was 20 to 24 minutes - Margin of Error,Percent of workers whose commute was 25 to 29 minutes,Percent of workers whose commute was 25 to 29 minutes - Margin of Error,Percent of workers whose commute was 30 to 34 minutes,Percent of workers whose commute was 30 to 34 minutes - Margin of Error,Percent of workers whose commute was 35 to 39 minutes,Percent of workers whose commute was 35 to 39 minutes - Margin of Error,Percent of workers whose commute was 40 to 44 minutes,Percent of workers whose commute was 40 to 44 minutes - Margin of Error,Percent of workers whose commute was 45 to 59 minutes,Percent of workers whose commute was 45 to 59 minutes - Margin of Error,Percent of workers whose commute was 60 to 89 minutes,Percent of workers whose commute was 60 to 89 minutes - Margin of Error,Percent of workers whose commute was 90 minutes or more,Percent of workers whose commute was 90 minutes or more - Margin of Error,Percent of workers whose commute was 45 minutes or more,x,y
53033009400,1686311,0,Census Tract 94,Washington,King County,3511,466,0,18,243,304,352,159,445,141,715,225,310,154,494,219,69,69,229,160,362,243,179,101,113,85,0,0.512674451723156,6.9,8.60963486186156,10,4.32871617258488,12.7,3.64663817782425,20.4,5.81053389389967,8.8,4.22676701087916,14.1,5.95142752494089,2,1.94786509730272,6.5,4.47412642497832,10.3,6.78446805532494,5.1,2.79595534397957,3.2,2.38297807103597,18.627171745941325,,
53033009500,2597717,2916270,Census Tract 95,Washington,King County,3177,464,15,23,150,86,144,108,585,207,590,162,471,217,595,221,65,61,151,100,313,130,56,56,42,42,0.5,0.72066188827171,4.7,2.61765412452519,4.5,3.33435567078481,18.4,5.93468216039168,18.6,4.31796643129838,14.8,6.47806735612993,18.7,6.39591071604453,2,1.89665633273604,4.8,3.0701260304592,9.9,3.83057765662296,1.8,1.74376852223503,1.3,1.30782639167627,12.936732766761095,,
53033009600,1906922,1385222,Census Tract 96,Washington,King County,2225,343,0,18,73,61,99,62,341,199,264,144,285,173,335,128,65,55,280,143,262,152,148,91,73,77,0,0.808988764044944,3.3,2.69451569500248,4.4,2.70077747919387,15.3,8.62612809746948,11.9,6.20805967785127,12.8,7.52036908582392,15.1,5.26380822987501,2.9,2.43054047950341,12.6,6.12719040531817,11.8,6.58587416646214,6.7,3.95925797169294,3.3,3.42351540882876,21.707865168539325,,
53033009701,1861358,1607123,Census Tract 97.01,Washington,King County,2683,590,0,18,57,56,213,129,105,76,324,131,253,121,408,148,54,50,513,373,515,191,205,95,36,43,0,0.670890793887439,2.1,2.03425941575013,7.9,4.47990993381255,3.9,2.69875498378953,12.1,4.09728455069958,9.4,4.00487837393351,15.2,4.38703056120401,2,1.810265891928,19.1,13.2512772841997,19.2,5.73250742463257,7.6,3.11676678168383,1.3,1.57528824849463,28.177413343272455,,
53033009702,2220441,0,Census Tract 97.02,Washington,King County,2219,358,110,67,232,159,77,50,132,76,262,111,136,66,305,117,78,53,99,62,502,147,277,147,9,15,5,2.91153290134243,10.5,6.9640226242995,3.5,2.18261295559648,5.9,3.28775611884251,11.8,4.62535782248133,6.1,2.80514099304707,13.7,4.78365735294617,3.5,2.32016150043798,4.5,2.69974640828049,22.6,5.52848730373422,12.5,6.3110549828989,0.4,0.672805645361982,35.51149166291122,,
53033009900,6565170,2370735,Census Tract 99,Washington,King County,3163,509,140,226,374,240,187,112,215,112,714,258,214,104,547,168,142,105,105,77,361,129,126,81,38,37,4.4,7.10952452572703,11.8,7.34527620001702,5.9,3.41073573188498,6.8,3.36775339958665,22.6,7.30327434189357,6.8,3.10252422205162,17.3,4.5239642481636,4.5,3.24006652736257,3.3,2.37506132777473,11.4,3.64144393236488,4,2.47932697653293,1.2,1.15368871719623,16.598166297818526,,
53033010001,2327512,0,Census Tract 100.01,Washington,King County,1611,251,78,84,70,90,223,93,121,61,356,143,124,66,236,102,111,100,15,18,167,96,110,112,0,13,4.8,5.15929579132647,4.3,5.54542153779048,13.8,5.35481562873208,7.5,3.60110013626677,22.1,8.18155151881358,7.7,3.91738257018176,14.6,5.90576902483281,6.9,6.11379244208625,0.9,1.10786079525672,10.4,5.73598413102744,6.8,6.87032637598045,0,0.806952203600248,17.194289261328368,,
53033010002,948077,0,Census Tract 100.02,Washington,King County,2236,316,0,13,185,131,271,88,341,123,323,127,189,88,309,95,66,42,220,123,238,148,40,32,54,41,0,0.581395348837209,8.3,5.74080935222898,12.1,3.54332826507673,15.3,5.06109995514954,14.4,5.30021735255427,8.5,3.74993143199772,13.8,3.77318080923922,3,1.83144867851627,9.8,5.32225446011558,10.6,6.44576537255173,1.8,1.40861950649174,2.4,1.80158769404579,14.847942754919499,,
53033010200,2795533,2076618,Census Tract 102,Washington,King County,2198,239,0,18,186,115,25,23,303,126,331,105,213,91,441,113,159,73,75,44,313,95,110,46,42,44,0,0.818926296633303,8.5,5.15048201524345,1.1,1.03907150788634,13.8,5.53304104519157,15.1,4.48766368838576,9.7,4.00379130078051,20.1,4.65518579160333,7.2,3.2267131663568,3.4,1.96713566297176,14.2,4.03522740053999,5,2.02082625746349,1.9,1.99100791044105,21.155595996360326,,
53033010401,1629874,0,Census Tract 104.01,Washington,King County,2004,269,8,13,6,9,116,84,345,197,404,123,260,101,319,112,68,36,119,72,250,109,104,71,5,12,0.4,0.646485619884629,0.3,0.447299967751901,5.8,4.11897308922948,17.2,9.55486475762972,20.2,5.50898133348453,13,4.72946922828758,15.9,5.16423903179873,3.4,1.73770542420457,5.9,3.50328032503883,12.5,5.1749342139303,5.2,3.47375506652153,0.2,0.597865091775208,17.914171656686626,,
53033010402,1742875,0,Census Tract 104.02,Washington,King County,2346,410,115,174,141,68,140,54,251,99,251,97,240,110,494,149,129,74,142,75,233,90,179,135,31,25,4.9,7.36723702873528,6,2.70153577950717,6,2.05195807083665,10.7,3.78308248512561,10.7,3.6877455221138,10.2,4.33458424669606,21.1,5.17642403700471,5.5,3.00435435955761,6.1,3.0168462985314,9.9,3.42119108471705,7.6,5.59784492877403,1.3,1.04031988678857,18.88320545609548,,
53033010701,1457384,3664,Census Tract 107.01,Washington,King County,1860,314,0,13,47,49,28,24,101,59,278,94,102,72,511,151,99,50,186,91,207,76,245,105,56,43,0,0.698924731182796,2.5,2.59964175256654,1.5,1.26504883858249,5.4,3.0366965753616,14.9,4.37882154961377,5.5,3.75863511095016,27.5,6.66303398702873,5.3,2.53355265960323,10,4.59198958690948,11.1,3.62846897356587,13.2,5.18875215730114,3,2.25526346802798,27.311827956989248,,
