Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Workers 16 Years and Over,Total Workers 16 Years and Over - Margin of Error,"All Workers who commuted by car, truck, or van","All Workers who commuted by car, truck, or van - Margin of Error",Workers who drove alone,Workers who drove alone - Margin of Error,Workers who carpooled,Workers who carpooled - Margin of Error,All Workers who commuted by public transportation (excluding taxicab),All Workers who commuted by public transportation (excluding taxicab) - Margin of Error,Workers who commuted by bus,Workers who commuted by bus - Margin of Error,Workers who commuted by subway or elevated rail,Workers who commuted by subway or elevated rail - Margin of Error,Workers who commuted by long-distance train or commuter rail,Workers who commuted by long-distance train or commuter rail - Margin of Error,"Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico)","Workers who commuted by light rail, streetcar or trolley (carro público in Puerto Rico) - Margin of Error",Workers who commuted by ferryboat,Workers who commuted by ferryboat - Margin of Error,Workers who commuted by taxicab,Workers who commuted by taxicab - Margin of Error,Workers who commuted by motorcycle,Workers who commuted by motorcycle - Margin of Error,Workers who commuted by bicycle,Workers who commuted by bicycle - Margin of Error,Workers who commuted by walking,Workers who commuted by walking - Margin of Error,Workers who commuted by other means,Workers who commuted by other means - Margin of Error,Workers who worked at home,Workers who worked at home - Margin of Error,Percent of workers who commuted by driving alone,Percent of workers who commuted by driving alone - Margin of Error,Percent of workers who commuted by carpooling,Percent of workers who commuted by carpooling - Margin of Error,Percent of workers who commuted by public transportation,Percent of workers who commuted by public transportation - Margin of Error,Percent of workers who commuted by bus,Percent of workers who commuted by bus - Margin of Error,"Percent of workers who commuted by light rail, streetcar or trolley","Percent of workers who commuted by light rail, streetcar or trolley - Margin of Error",Percent of workers who commuted by subway or elevated rail,Percent of workers who commuted by subway or elevated rail - Margin of Error,Percent of workers who commuted by long-distance train or commuter rail,Percent of workers who commuted by long-distance train or commuter rail - Margin of Error,Percent of workers who commuted by ferryboat,Percent of workers who commuted by ferryboat - Margin of Error,Percent of workers who commuted by taxicab,Percent of workers who commuted by taxicab - Margin of Error,Percent of workers who commuted by motorcycle,Percent of workers who commuted by motorcycle - Margin of Error,Percent of workers who commuted by bicycle,Percent of workers who commuted by bicycle - Margin of Error,Percent of workers who commuted by walking,Percent of workers who commuted by walking - Margin of Error,Percent of workers who commuted by other means,Percent of workers who commuted by other means - Margin of Error,Percent of workers who worked at home,Percent of workers who worked at home - Margin of Error,x,y
53033001500,1167711,526885,Census Tract 15,Washington,King County,1583,279,1078,279,1018,286,60,45,158,63,145,63,0,13,0,13,13,19,0,13,0,13,0,13,41,32,28,43,0,13,278,74,64.3,14.0695214226171,3.8,2.76309703285214,10,3.56989219519514,9.2,3.63763828604259,0.8,1.19149364829969,0,0.82122552116235,0,0.82122552116235,0,0.82122552116235,0,0.82122552116235,0,0.82122552116235,2.6,1.96926276853084,1.8,2.69841315846086,0,0.82122552116235,17.6,3.50318846428822,,
53033001600,2020358,320118,Census Tract 16,Washington,King County,2625,378,1476,172,1242,171,234,112,252,80,252,80,0,13,0,13,0,13,0,13,0,13,0,13,41,31,39,34,0,13,817,381,47.3,9.42636681134576,8.9,4.06898866845759,9.6,2.71605450965374,9.6,2.71605450965374,0,0.495238095238095,0,0.495238095238095,0,0.495238095238095,0,0.495238095238095,0,0.495238095238095,0,0.495238095238095,1.6,1.15933691831095,1.5,1.277446741447,0,0.495238095238095,31.1,13.8049883177149,,
53033001701,892768,0,Census Tract 17.01,Washington,King County,3219,404,1688,430,1576,420,112,90,875,291,826,290,0,13,0,13,0,13,49,79,0,13,0,13,71,57,45,43,0,13,540,147,49,11.5100646512743,3.5,2.76158811047508,27.2,8.37164880894975,25.7,8.41372727717552,0,0.403852127990059,0,0.403852127990059,0,0.403852127990059,1.5,2.44673109410493,0,0.403852127990059,0,0.403852127990059,2.2,1.74896468304335,1.4,1.32424649284702,0,0.403852127990059,16.8,4.05234266717579,,
53033001702,1280220,0,Census Tract 17.02,Washington,King County,3217,528,1471,351,1376,360,95,81,807,248,807,248,0,18,0,18,0,18,0,18,16,28,0,18,88,94,128,169,0,18,707,318,42.8,8.71464489545378,3,2.47078396780612,25.1,6.51749848495935,25.1,6.51749848495935,0,0.55952751010258,0,0.55952751010258,0,0.55952751010258,0,0.55952751010258,0.5,0.866539718811817,0,0.55952751010258,2.7,2.88727867664256,4,5.21259369799121,0,0.55952751010258,22,9.20337957204442,,
53033001800,946085,0,Census Tract 18,Washington,King County,3582,441,2063,359,1922,345,141,86,631,157,631,157,0,18,0,18,0,18,0,18,16,26,117,80,54,67,175,121,60,78,466,198,53.7,7.00898912359416,3.9,2.35147331059254,17.6,3.80884293390534,17.6,3.80884293390534,0,0.50251256281407,0,0.50251256281407,0,0.50251256281407,0,0.50251256281407,0.4,0.723765252316171,3.3,2.19688724436386,1.5,1.86123227097246,4.9,3.32401958725234,1.7,2.16776730756177,13,5.29050409822217,,
53033001900,1667272,0,Census Tract 19,Washington,King County,3078,293,1607,241,1499,241,108,73,537,140,513,140,24,22,0,13,0,13,0,13,0,13,28,24,16,18,91,49,0,13,799,182,48.7,6.30981520743243,3.5,2.34803284552964,17.4,4.23437362951704,16.7,4.26273909662446,0,0.422352176738142,0.8,0.710885502189873,0,0.422352176738142,0,0.422352176738142,0,0.422352176738142,0.9,0.774903736767976,0.5,0.582698090459467,3,1.56686904045349,0,0.422352176738142,26,5.37185083723094,,
53033002000,1103313,28680,Census Tract 20,Washington,King County,2220,309,1284,248,1093,247,191,93,340,113,331,111,6,11,0,13,0,13,3,7,0,13,0,13,75,49,32,33,69,58,420,119,49.2,8.76520463279357,8.6,4.01437807036055,15.3,4.62220293993561,14.9,4.54897099192452,0,0.585585585585586,0.3,0.494065400006036,0,0.585585585585586,0.1,0.314753802882659,0,0.585585585585586,0,0.585585585585586,3.4,2.15653515586566,1.4,1.472884397207,3.1,2.57654592124349,18.9,4.6689556631253,,
53033002100,1365468,0,Census Tract 21,Washington,King County,2721,374,1509,273,1227,244,282,118,429,125,361,110,30,29,0,13,38,55,0,13,6,11,0,13,186,153,139,90,0,13,452,260,45.1,6.48041535737381,10.4,4.09600334894847,15.8,4.05064721119516,13.3,3.60797338893067,1.4,2.01218056612617,1.1,1.05495574555283,0,0.47776552737964,0,0.47776552737964,0.2,0.403125382990179,0,0.47776552737964,6.8,5.54387839854429,5.1,3.23222122588887,0,0.47776552737964,16.6,9.27850965464031,,
53033002200,2804076,1154953,Census Tract 22,Washington,King County,2986,464,1913,440,1529,394,384,163,350,137,316,134,19,30,0,18,15,24,0,18,0,18,0,18,73,66,30,34,11,18,609,214,51.2,10.5258163547509,12.9,5.07988341666351,11.7,4.21105003460016,10.6,4.17544701099497,0.5,0.799951257448602,0.6,0.999811263841658,0,0.602813127930342,0,0.602813127930342,0,0.602813127930342,0,0.602813127930342,2.4,2.17742344811532,1,1.12789337198096,0.4,0.600088972805253,20.4,6.42795489498911,,
53033002400,962528,0,Census Tract 24,Washington,King County,1906,376,874,179,771,176,103,79,344,149,275,127,0,13,0,13,69,81,0,13,0,13,22,25,73,72,57,45,24,33,512,306,40.5,4.64631165057799,5.4,4.00536443264748,18,6.95956085077303,14.4,6.02466743864313,3.6,4.18930257285941,0,0.68205666316894,0,0.68205666316894,0,0.68205666316894,0,0.68205666316894,1.2,1.2917318924389,3.8,3.70121370587882,3,2.28606950000992,1.3,1.71346286340727,26.9,15.1547781750052,,
